Council Member,Questionnaire Submission,Email Address submitted on Questionnaire,FY24 SC CODE,Older Adult Center / Program Name,Program Address,Borough,Zip Code,New Council District,City Council District ,Community District,Contact Person,Phone,Email Address sent by DFTA (Red Highlights flags error with original email),DFTA ID ,SITE TYPE,Program Type,email,director,JR,City Council District .1,Council Member.1,geoclient,lat,lon
Hanks,YES,ldellasalla@cc-si.org,FY24 SC 363,Anderson Neighborhood Senior Center,120 Anderson Avenue,Staten Island,10302,,49,Staten Island CD1  ,Lauren Della Salla,718-448-5757,ldellasalla@cc-si.org,C1801,Main Site,OAC,ldellasalla@cc-si.org,Lauren Della Salla,,49,Hanks,"120%20Anderson%20Avenue,%20Staten%20Island,%2010302",40.63492691701667,-74.13442196479973
Hanks,YES,jacqueline.west@cascsiny.org,FY24 SC 364,CASC Cassidy Coles NSC,125 Cassidy Place,Staten Island,10301,,49,Staten Island CD1  ,Jacqueline West,718-273-6808,jacqueline.west@cascsiny.org,C2201,Main Site,OAC,jacqueline.west@cascsiny.org,JACQUELINE WEST,,49,Hanks,"125%20Cassidy%20Place,%20Staten%20Island,%2010301",40.641887360636126,-74.09648948429756
Hanks,YES,glenda.martinez@cascsiny.org,FY24 SC 365,CASC New Lane NSC,70 New Lane,Staten Island,10301,,49,Staten Island CD1  ,Glenda Martinez,718-448-5936,glenda.martinez@cascsiny.org,C2202,Main Site,OAC,glenda.martinez@cascsiny.org,Glenda Martinez,,49,Hanks,"70%20New%20Lane,%20Staten%20Island,%2010301",40.61281072171034,-74.062256109034
Hanks,YES,mrivera@jcc.com,FY24 SC 366,JCC GO KOSSAH (Stapleton NNORC),189 Gordon Street,Staten Island,10304,,49,501,Maritza Rivera,718-981-8828,mrivera@sijcc.com,5AC,Discretionary-NYCHA,NORC,mrivera@jcc.com,Maritza Rivera,,49,Hanks,"189%20Gordon%20Street,%20Staten%20Island,%2010304",40.62312364494817,-74.08283846003353
Hanks,YES,mrivera@jcc.com,FY24 SC 368,Stapelton OAC,189 Gordon Street,Staten Island,10304,,49,Staten Island CD1  ,Maritza Rivera,718-981-8828,MRivera@SIJCC.COM,W1703,Main Site,OAC,mrivera@jcc.com,Maritza Rivera,,49,Hanks,"189%20Gordon%20Street,%20Staten%20Island,%2010304",40.62312364494817,-74.08283846003353
Hanks,YES,tdesienathfc@gmail.com,FY24 SC 375,Todt Hill OAC,184 Schmidts Lane,Staten Island,10314,,49,Staten Island CD1  ,Lillian Hughes,718-698-7979,lhughesthfc@gmail.com,C7705,Main Site,OAC,tdesienathfc@gmail.com,Todd DeSiena,,49,Hanks,"184%20Schmidts%20Lane,%20Staten%20Island,%2010314",40.60905770741548,-74.11905251427653
Hanks,YES,LSPIVEY@CC-SI.ORG,FY24 SC 369,West Brighton Neighborhood Senior Center,230 Broadway,Staten Island,10310,,49,Staten Island CD1  ,La'Rae Spivey,718-727-9793 ,lspivey@cc-si.org,C1802,Main Site,OAC,LSPIVEY@CC-SI.ORG,LARAE SPIVEY ,,49,Hanks,"230%20Broadway,%20Staten%20Island,%2010310",40.63648525761574,-74.1175233223177
Holden,YES,zallevy2@gmail.com,FY24 SC 230,Middle Village OAC,69-10 75th Street,Queens,11379,,30,Queens CD5,Rabbi Richard Levy,718-894-3441,middlevillageadultcenter@gmail.com,C5701,Main Site,OAC,zallevy2@gmail.com,Rabbi Richard Levy,FY24 SC 230,30,Holden,"69-10%2075th%20Street,%20Queens,%2011379",40.70928440880607,-73.87666376280028
Holden,YES,PCSENIORS@NYC.RR.COM,FY24 SC 231,Peter Cardella Older Adult Center,68-52 Fresh Pond Road,Queens,11385,,30,Queens CD5,Barbara Toscano,718-497-2908,pcseniors@nyc.rr.com,C5401,Main Site,OAC,PCSENIORS@NYC.RR.COM,BARBARA TOSCANO,,30,Holden,"68-52%20Fresh%20Pond%20Road,%20Queens,%2011385",40.703874059972556,-73.89567368198978
Holden,YES,ecostea.roacny@gmail.com,FY24 SC 232,"Ridgewood Older Adult Center And Services, Inc",5914 70th Avenue,Queens,11385,,30,Queens CD5,Elena Costea,718-456-2000,ROAC5914@gmail.com,C5901,Main Site,OAC,ecostea.roacny@gmail.com,Elena Costea,,30,Holden,"5914%2070th%20Avenue,%20Queens,%2011385",40.701190793405644,-73.90002373628738
Holden,YES,mdixon@selfhelp.net,FY24 SC 233,Selfhelp Maspeth,69-61 Grand Avenue ,Queens,11378,,30,Queens CD5,Maria Dixon,718-429-3636,mdixon@selfhelp.net,W2105,Main Site,OAC,mdixon@selfhelp.net,Maria Dixon,,30,Holden,"69-61%20Grand%20Avenue%20,%20Queens,%2011378",40.727018705463784,-73.89355568084498
Hudson,YES,michelle.williams@ccbq.org,FY24 SC 248,CCNS St Louis OAC,230 Kingston Avenue,Brooklyn,11213,,35,Brooklyn CD8,Michelle Williams,718-771-7945,Michelle.williams@ccbq.org,C1715,Main Site,OAC,michelle.williams@ccbq.org,MIchelle Williams,FY24 SC 248,35,Hudson,"230%20Kingston%20Avenue,%20Brooklyn,%2011213",40.671820342836526,-73.9419822804104
Hudson,YES,sfletcher@fortgreenecouncil.org,FY24 SC 263,Grace Agard Harewood OAC ,966 Fulton Street,Brooklyn,11238,,35,Brooklyn CD2   ,Septimus Fletcher,718-638-6910,sfletcher@fortgreenecouncil.org,C3501,Main Site,OAC,sfletcher@fortgreenecouncil.org,Septimus Fletcher,,35,Hudson,"966%20Fulton%20Street,%20Brooklyn,%2011238",40.68248671384602,-73.96217825277998
Hudson,YES,sjohnson@raices.us,FY24 SC 264,RAICES  Farragut OAC Satellite,228 York Street,Brooklyn,11201,,35,Brooklyn CD2   ,Sheila Johnson,718 624 0771,sjohnson@raices.us,C7207,Affiliated,OAC,sjohnson@raices.us,Sheila Johnson,,35,Hudson,"228%20York%20Street,%20Brooklyn,%2011201",40.70130413244252,-73.98176181526577
Hudson,NO,,FY24 SC 093,SAGE Center Brooklyn at Stonewall House,271 Myrtle Avenue,Brooklyn,11201,,35,Brooklyn CD2   ,Odinakachi Chigewe ,(646)518-9744,ochigewe@sageusa.org,C6903,Main Site,OAC,,,,35,Hudson,"271%20Myrtle%20Avenue,%20Brooklyn,%2011201",40.69345344843041,-73.97804246961567
Hudson,YES,Ksemplecain@fortgreenecouncil.org,FY24 SC 266,Willoughby OAC,105 North Portland Avenue,Brooklyn,11205,,35,Brooklyn CD2   ,Kenesha Semple,718-875-1011,ksemple@fortgreenecouncil.org,C3504,Main Site,OAC,Ksemplecain@fortgreenecouncil.org,Kenesha Semple-Cain,,35,Hudson,"105%20North%20Portland%20Avenue,%20Brooklyn,%2011205",40.69478153276758,-73.97611633752928
Jordan,YES,richard@arcseniors.org,FY24 SC 083,ARC XVI A Philip Randolph Center (ARC Ft Washington NSC),108 West 146 Street,Manhattan,10039,,9,Manhattan CD10,Richard Allman,212-281-1349,richard@arcseniors.org,C0501,Main Site,OAC,richard@arcseniors.org,Richard Allman,,9,Jordan,"108%20West%20146%20Street,%20Manhattan,%2010039",40.82134029109368,-73.93631676190863
Jordan,YES,Jessika@arcseniors.org,FY24 SC 084,ARC XVI Central Harlem Center,120 West 140th Street ,Manhattan,10030,,9,Manhattan CD10,Jessika Roldan,347-919-5072,jessika@arcseniors.org,C0502,Main Site,OAC,Jessika@arcseniors.org,Jessika Roldan,,9,Jordan,"120%20West%20140th%20Street%20,%20Manhattan,%2010030",40.81757887566351,-73.93927203917372
Jordan,YES,Lrsmaav60@gmail.com,FY24 SC 085,Canaan Senior Service Center,1428 5th Avenue,Manhattan,10035,,9,Manhattan CD10,Kim Parker,212-876-2638,canaansenior@gmail.com,C1501,Main Site,OAC,Lrsmaav60@gmail.com,Kim Parker ,,9,Jordan,"1428%205th%20Avenue,%20Manhattan,%2010035",40.80114962076662,-73.94612080473502
Jordan,NO,,FY24 SC 107,Central Harlem  Lincoln,60 E 135th Street,Manhattan,10035,,9,Manhattan CD11,Alishia Thomas,212-926-4871/4465,athomas@chscc.org,C1903,Affiliated,OAC,,,,9,Jordan,"60%20E%20135th%20Street,%20Manhattan,%2010035",40.811609485987645,-73.934935260047
Jordan,NO,,FY24 SC 097,Central Harlem Kennedy,34 W. 134th Street,Manhattan,10037,,9,Manhattan CD10,Alishia Thomas,212-926-4871/4465,athomas@chscc.org,C1901,Main Site,OAC,,,,9,Jordan,"34%20W.%20134th%20Street,%20Manhattan,%2010037",40.81270170242919,-73.93964497052892
Jordan,YES,vjohnson@chscc.org,FY24 SC 086,Central Harlem SC Ctr Beatrice Lewis,2322 Third Avenue,Manhattan,10035,,9,Manhattan CD11,Vivian Johnson,212-289-9155,vjohnson@chscc.org,C1904,Main Site,OAC,vjohnson@chscc.org,Vivian Johnson,,9,Jordan,"2322%20Third%20Avenue,%20Manhattan,%2010035",40.80446515185792,-73.93526010960275
Jordan,YES,Mwarrell@chscc.org,FY24 SC 087,Central Harlem St Nick ,210 W. 131st Street,Manhattan,10027,,9,Manhattan CD10,Monica Warrell,646-678-4451,MWarrell@chscc.org,C1902,Affiliated,OAC,Mwarrell@chscc.org,Monica Warrell ,,9,Jordan,"210%20W.%20131st%20Street,%20Manhattan,%2010027",40.812976647069334,-73.94614013064874
Jordan,YES,cmartinez@foodbanknyc.org,FY24 SC 088,Food Bank For New York City OAC,252 West 116th Street,Manhattan,10026,,9,Manhattan CD10,Charles Martinez,212-566-7855 Ext 6452,cmartinez@foodbanknyc.org; ndone@foodbanknyc.org; zhall@foodbanknyc.org; hsmith@foodbanknyc.org,C3401,Main Site,OAC,cmartinez@foodbanknyc.org,Zac Hall,,9,Jordan,"252%20West%20116th%20Street,%20Manhattan,%2010026",40.80417804387952,-73.95481267099875
Jordan,YES,cothoalunc@aol.com,FY24 SC 089,Polo Grounds Satellite ,2965 Frederick Douglass Boulevard,Manhattan,10039,,9,Manhattan CD10,Marcus Guevara,212-283-5475,pgsc157@gmail.com,C2602,Affiliated,OAC,cothoalunc@aol.com,Jane Ruddy,FY24 SC 089,9,Jordan,"2965%20Frederick%20Douglass%20Boulevard,%20Manhattan,%2010039",40.83024150649481,-73.93649975852139
Jordan,YES,rwilson2pssusa.org,FY24 SC 090,PSS Harlem,127 West 127th Street,Manhattan,10027,,9,Manhattan CD10,Rorima Wilson,212-222-3132,rwilson@pssusa.org,W1906,Main Site,OAC,rwilson2pssusa.org,Rorima Wilson,,9,Jordan,"127%20West%20127th%20Street,%20Manhattan,%2010027",40.809487802187554,-73.94549633694241
Jordan,YES,KDinham@pssusa.org,FY24 SC 091,PSS King Towers ,50 Lenox Avenue,Manhattan,10026,,9,Manhattan CD10,Katrina Dinham,917-734-4452,kdinham@pssusa.org,W1907,Main Site,OAC,KDinham@pssusa.org,Ms. KaTrina Dinham,FY24 SC 091,9,Jordan,"50%20Lenox%20Avenue,%20Manhattan,%2010026",40.79959297103653,-73.95142064614242
Jordan,NO,,FY24 SC 092,RJ Rangel OAC,159-36 Harlem River Drive,Manhattan,10039,,9,Manhattan CD10,Catalina Guzman,646-918-7570,rangelscenter@aol.com C,C2604,Affiliated,OAC,,,,9,Jordan,"159-36%20Harlem%20River%20Drive,%20Manhattan,%2010039",40.833364410943915,-73.93545603755923
Jordan,YES,dknight@sageusa.org,FY24 SC 265,SAGE Center Harlem,220 West 143rd Street,Manhattan,10030,,9,Manhattan CD10,Debra Knight,(929)458-0170,dknight@sageusa.org; astivala@sageusa.org; ccarteciano@sageusa.org ,C6902,Main Site,OAC,dknight@sageusa.org,Debra Knight,,9,Jordan,"220%20West%20143rd%20Street,%20Manhattan,%2010030",40.82079939459434,-73.94112979496708
Jordan,YES,,FY24 SC 094,SAGE HARLEM  COMMUNITY CENTER NORC,220 W. 143RD STREET,Manhattan,10030,,9,110,Debra Knight,646-660-8951 ,dknight@sageusa.org; astivala@sageusa.org; ccarteciano@sageusa.org ,3N3,Discretionary,NORC,,,,9,Jordan,"220%20W.%20143RD%20STREET,%20Manhattan,%2010030",40.82079939459434,-73.94112979496708
Joseph,YES,AHEIN49412@AOL.COM,FY24 SC 292,Agudath Israel Brookdale Senior Center,817 Avenue H,Brooklyn,11230,,40,Brooklyn 40,Aron Heineman,718-434-8670,ahein49412@aol.com,C0101,Main Site,OAC,AHEIN49412@AOL.COM,Rabbi Aron Heineman,,40,Joseph,"817%20Avenue%20H,%20Brooklyn,%2011230",40.629267362762185,-73.96868594165225
Joseph,YES,ivan@dorchestercenter.org,FY24 SC 294,Dorchester Senior Citizens Center OAC,1419 Dorchester Road,Brooklyn,11226,,40,Brooklyn CD14   ,Joanne Biswakarma,718-941-6700,dorchesterseniorsnyc@gmail.com,C2901,Main Site,OAC,ivan@dorchestercenter.org,Ivan Slutsky,,40,Joseph,"1419%20Dorchester%20Road,%20Brooklyn,%2011226",40.6389717748665,-73.96468909310839
Joseph,YES,llawrence@fortgreenecouncil.org,FY24 SC 295,Hazel Brooks OAC,961 Ocean Avenue,Brooklyn,11226,,40,Brooklyn CD14   ,Leishanna Lawrence,347-435-3287,llawrence@fortgreenecouncil.org,C3514,Main Site,OAC,llawrence@fortgreenecouncil.org,Leishanna Lawrence,,40,Joseph,"961%20Ocean%20Avenue,%20Brooklyn,%2011226",40.638890244516816,-73.95887725593367
Joseph,YES,stgabctr@aol.com,FY24 SC 296,St Gabriels Episcopal Church NSC,331 Hawthorne Street,Brooklyn,11225,,40,Brooklyn CD9   ,Judith Villaroel,718-773-4049,stgabctr@aol.com,C7301,Main Site,OAC,stgabctr@aol.com,Judith Villaroel,,40,Joseph,"331%20Hawthorne%20Street,%20Brooklyn,%2011225",40.657918715248776,-73.94921714281018
Kagan,YES,jfungwk@gmail.com,FY24 SC 282,BCA Bensonhurst Older Adult Center,6409 20th Ave,Brooklyn,11204,,47,Brooklyn CD11,Jenny Fung,718 331 3088,jfungwk@gmail.com,C1201,Main Site,OAC,jfungwk@gmail.com,Jenny Fung,FY24 SC 282,47,Kagan,"6409%2020th%20Ave,%20Brooklyn,%2011204",40.61699598907563,-73.98535440031856
Kagan,YES,Catherine.Palermo@ccbq.org,FY24 SC 201,CCNS The Lodge OAC,7711 18th Avenue,Brooklyn,11214,,47,Brooklyn CD11,Catherine Palermo,718-621-1081,catherine.palermo@ccbq.org,C1717,Main Site,OAC,Catherine.Palermo@ccbq.org,"Catherine Palermo, Program Manager",,47,Kagan,"7711%2018th%20Avenue,%20Brooklyn,%2011214",40.612086454692225,-73.99728791798927
Kagan,YES,dbailey@jasa.org,FY24 SC 349,JASA CONEY ISLAND ACTIVE AGING NORC,2950 WEST 35TH STREET,Brooklyn,11224,,47,313,Donna McEwen-Bailey,718-943-7812,dmcewen@jasa.org,N68-03,DFTA-Funded-NYCHA,NORC,dbailey@jasa.org,Donna Bailey,,47,Kagan,"2950%20WEST%2035TH%20STREET,%20Brooklyn,%2011224",40.573837708849275,-74.00049315069208
Kagan,YES,lshneyer@jasa.org,FY24 SC 350,JASA Luna Park Annex,2880 West 12th Street,Brooklyn,11224,,47,Brooklyn CD13,Lidia Shneyer,718-373-3954,drussell@jasa.org; lshneyer@jasa.org,C8307.1,Affiliated,OAC,lshneyer@jasa.org,Lidia Shneyer,,47,Kagan,"2880%20West%2012th%20Street,%20Brooklyn,%2011224",40.577346507042435,-73.97962496659616
Kagan,YES,lshneyer@jasa.org,FY24 SC 351,JASA Scheuer Coney Island OAC,3601 Surf Avenue,Brooklyn,11224,,47,Brooklyn CD13,Lidia Shneyer,718-373-3954,lshneyer@jasa.org,C8306,Main Site,OAC,lshneyer@jasa.org,Lidia Shneyer,,47,Kagan,"3601%20Surf%20Avenue,%20Brooklyn,%2011224",40.57314326347517,-74.001587424775
Kagan,YES,kstieber@jasa.org,FY24 SC 352,JASA WARBASSE CARES NORC,2844 OCEAN PARKWAY,Brooklyn,11235,,47,313,Karin Stieber,718-996-5200,kstieber@jasa.org,N68-04,DFTA-Funded,NORC,kstieber@jasa.org,Karin Stieber,,47,Kagan,"2844%20OCEAN%20PARKWAY,%20Brooklyn,%2011235",40.580541671112655,-73.96842798696913
Kagan,YES,GBR@JCCGCI.org  or G.Brandi@JCCGCI.org,FY24 SC 353,JCCGCI Coney Island Seaside Older Adult Center (ISC),3001 West 37th Street,Brooklyn,11224,,47,Brooklyn CD13,Grace Brandi,718-449-6363,g.brandi@jccgci.org,C4701,Main Site,OAC,GBR@JCCGCI.org  or G.Brandi@JCCGCI.org,Grace Brandi,,47,Kagan,"3001%20West%2037th%20Street,%20Brooklyn,%2011224",40.573176184697,-74.00250892429382
Kagan,YES,GBR@JCCGCI.org,FY24 SC 360,JCCGCI Haber House Older Adult Center,3024 West 24th Street,Brooklyn,11224,,47,Brooklyn CD13,Grace Brandi,718-449-6363 ,gbr@jccgci.org>,C4702,Main Site,OAC,GBR@JCCGCI.org,Grace Brandi (Director position currently vacant),,47,Kagan,"3024%20West%2024th%20Street,%20Brooklyn,%2011224",40.57317034154442,-73.99064462886551
Kagan,YES,rer@jccgci.org,FY24 SC 338,JCCGCI Kings Highway Older Adult Center,1879 East 3rd Street,Brooklyn,11223,,47,Brooklyn CD15 ,Risa Erps,929-628-1007,rer@jccgci.org,C4704,Main Site,OAC,rer@jccgci.org,Risa Erps,,47,Kagan,"1879%20East%203rd%20Street,%20Brooklyn,%2011223",40.60409794745303,-73.96994378676368
Kagan,YES,n.gutierrez@jccgci.org,FY24 SC 356,JCCGCI Marlboro Older Adult Center,2298 West 8th Street,Brooklyn,11223,,47,Brooklyn CD13,Nelson Gutierrez,718-373-6161,n.gutierrez@jccgci.org,C4706,Main Site,OAC,n.gutierrez@jccgci.org,Nelson Gutierrez,,47,Kagan,"2298%20West%208th%20Street,%20Brooklyn,%2011223",40.59208039032411,-73.97846827140678
Kagan,NO,,FY24 SC 357,JCCGCI Ocean Parkway Older Adult Center,1960 East 7th Street,Brooklyn,11223,,47,Brooklyn CD15 ,Shamuil Mikhli,718- 449–5000 ext 2821,s.mikhli@jccgci.org; m.vachnine@jccgci.org; gbr@jccgci.org,C4708,Main Site,OAC,,,,47,Kagan,"1960%20East%207th%20Street,%20Brooklyn,%2011223",40.6030837434159,-73.96508260021258
Krishnan,YES,Mariana.ortiz@ccbq.org,FY24 SC 348,CCNS Catherine Sheridan OAC,35-24 83rd Street,Queens,11372,,25,Queens CD3,Mariana Ortiz,718-458-4600,mariana.ortiz@ccbq.org; Debra.Hoffer@ccbq.org,C1703,Main Site,OAC,Mariana.ortiz@ccbq.org,Mariana Ortiz,,25,Krishnan,"35-24%2083rd%20Street,%20Queens,%2011372",40.751547278635215,-73.88370294824003
Krishnan,YES,miriam.rolon@iprhe.org,FY24 SC 202,Elmhurst,75-01 Broadway Avenue,Queens,11373,,25,Queens CD4,Mirian Rolon,718-478-7171,Miriam.Rolon@iprhe.org,W1604,Main Site,OAC,miriam.rolon@iprhe.org,Miriam Rolon,FY24 SC 202,25,Krishnan,"75-01%20Broadway%20Avenue,%20Queens,%2011373",40.74617120781676,-73.89020845095519
Krishnan,YES,maria@newtownseniorcenter.org,FY24 SC 203,Italian Senior Citizens  Center Inc,83-20 Queens Boulevard,Queens,11373,,25,Queens CD4,Maria Cuoco,718-335-7272,maria@newtownseniorcenter.org,C4501,Main Site,OAC,maria@newtownseniorcenter.org,Maria Cuoco,,25,Krishnan,"83-20%20Queens%20Boulevard,%20Queens,%2011373",40.73720456659328,-73.87968649687303
Krishnan,YES,bsreyes@qchnyc.org,FY24 SC 227,QCH Queens Center for Gay Seniors (QCGS) OAC,37-06 77th Street ,Queens,11372,,25,Queens CD3,Bertis Shankle-Reyes,(718) 533-6459,bsreyes@qchnyc.org,C5604,Main Site,OAC,bsreyes@qchnyc.org,Bert Shankle-Reyes,,25,Krishnan,"37-06%2077th%20Street%20,%20Queens,%2011372",40.74890658555765,-73.88902015725485
Krishnan,YES,ktaylor@selfhelp.net,FY24 SC 205,SELFHELP NORTHRIDGE 11-BRULENE NORC,33-45 90TH STREET,Queens ,11372,,25,403,Karen Taylor,718-396-5425,ktaylor@selfhelp.net,N62-03,DFTA-Funded,NORC,ktaylor@selfhelp.net,Karen Taylor,,25,Krishnan,"33-45%2090TH%20STREET,%20Queens%20,%2011372",40.75488960744373,-73.87765493192994
Lee,YES,Pang.Chu@ccbq.org,FY24 SC 268,CCNS Bayside OAC,221-15 Horace Harding Expressway ,Queens,11364,,23,Queens CD11,Pang Chu,718-225-1144,pang.chu@ccbq.org,C1701,Main Site,OAC,Pang.Chu@ccbq.org,Pang F. Chu,,23,Lee,"221-15%20Horace%20Harding%20Expressway%20,%20Queens,%2011364",40.74968816037707,-73.75655945266709
Lee,YES,gbrown2@jasa.org,FY24 SC 190,JASA Holliswood Older Adult Center,86-25 Francis Lewis Boulevard,Queens,11427,,23,Queens CD8,Gail Brown          ,718-454-6157,gbrown2@jasa.org,C8305,Main Site,OAC,gbrown2@jasa.org,Gail A. Brown,,23,Lee,"86-25%20Francis%20Lewis%20Boulevard,%20Queens,%2011427",40.72494815024823,-73.765106546238
Lee,NO,,FY24 SC 192,NORC WITHOUT WALLS (NNORC),58-20 LITTLE NECK PKWY,Queens ,11362,,23,411,Ebony Johnson,718-225-6750,ejohnson@commonpointqueens.org,4N1,Discretionary,NORC,,,,23,Lee,"58-20%20LITTLE%20NECK%20PKWY,%20Queens%20,%2011362",40.76157704141104,-73.72312171983634
Lee,YES,wlepper@commonpointqueens.org,FY24 SC 193,Sam Field Older Adult Center,58-20 Little Neck Parkway,Queens,11362,,23,Queens CD11,Barbara Becker Bruno,718-225-6750 ext 233,BBeckerbruno@commonpointqueens.org,C6501,Main Site,OAC,wlepper@commonpointqueens.org,"Wendy Lepper, LMSW",,23,Lee,"58-20%20Little%20Neck%20Parkway,%20Queens,%2011362",40.76157704141104,-73.72312171983634
Lee,YES,vmargolies@commonpointqueens.org,FY24 SC 194,SAMUEL FIELD Y DEEPDALE GARDENS NORC,57-17 MARATHON PARKWAY,Queens ,11362,,23,411,Victoria Margolies,718-225-3929,vmargolies@commonpointqueens.org,N61-02,DFTA-Funded,NORC,vmargolies@commonpointqueens.org,Victoria Margolies,,23,Lee,"57-17%20MARATHON%20PARKWAY,%20Queens%20,%2011362",40.759419779644574,-73.73128496968177
Lee,NO,,FY24 SC 195,SELFHELP FRESH MEADOWS NORC,67-00 192ND ST.,Queens ,11365,,23,408,Anthony Castro,718-559-4330,acastro@selfhelp.net,N62-04,DFTA-Funded,NORC,,,,23,Lee,"67-00%20192ND%20ST.,%20Queens%20,%2011365",40.73781226027942,-73.78153404711799
Lee,YES,nbhola@snapqueens.org,FY24 SC 196,SNAP Eastern Queens OAC (ISC),80-45 Winchester Boulevard,Queens,11427,,23,Queens CD13,Cathy Cahn,718-525-8899,ccahn@snapqueens.org,C7001,Main Site,OAC,nbhola@snapqueens.org,Nina Bhola-Cruz,,23,Lee,"80-45%20Winchester%20Boulevard,%20Queens,%2011427",40.73768487885216,-73.73402127140984
Louis,YES,Nadine.Aspilaire@ccbq.org,FY24 SC 216,CCNS Glenwood OAC,5701 Avenue H,Brooklyn,11234,,45,Brooklyn CD18   ,Nadine Aspilaire ,718-241-7711,nadine.aspilaire@ccbq.org,C1718,Main Site,OAC,Nadine.Aspilaire@ccbq.org,Nadine Aspilaire,,45,Louis,"5701%20Avenue%20H,%20Brooklyn,%2011234",40.6332879415403,-73.92155520645986
Louis,NO,,FY24 SC 336,Council of Peoples Organization: Halal Senior Center ,1075-1077 Coney Island Avenue,Brooklyn,11230,,45,Brooklyn CD14   ,Hasa Raza            ,718-434-3266 x 1013,hraza@copo.org,C2701,Main Site,OAC,,,,45,Louis,"1075-1077%20Coney%20Island%20Avenue,%20Brooklyn,%2011230",40.631168875472554,-73.96646576613172
Louis,YES,H.reiser@jccgci.org,FY24 SC 330,JCCGCI Midwood Older Adult Center,1625 Ocean Avenue,Brooklyn,11230,,45,Brooklyn CD14   ,Henny Riser,718-253-0508,h.reiser@jccgci.org; info@selfhelp.net,C4707,Main Site,OAC,H.reiser@jccgci.org,Henny Reiser ,,45,Louis,"1625%20Ocean%20Avenue,%20Brooklyn,%2011230",40.62234074736723,-73.95574268247394
Louis,YES,Lkellman@milldev.org,FY24 SC 340,PHILLIP HOWARD NORC,1655 FLATBUSH AVENUE,Brooklyn,11210,,45,318,Latosha Kellman,718-258-6000,lkellman@milldev.org,2CF,Discretionary,NORC,Lkellman@milldev.org,Latosha Kellman,,45,Louis,"1655%20FLATBUSH%20AVENUE,%20Brooklyn,%2011210",40.6300955160754,-73.94475658643252
Louis,YES,cpinn@fortgreenecouncil.org,FY24 SC 270,Remsen Sarita Jean OAC,3304 Clarendon Road,Brooklyn,11210,,45,Brooklyn CD17  ,Cameron Pinn,718-282-1259,cpinn@fortgreenecouncil.org,C3512,Main Site,OAC,cpinn@fortgreenecouncil.org,Cameron Pinn,,45,Louis,"3304%20Clarendon%20Road,%20Brooklyn,%2011210",40.643427396649145,-73.94569684484951
Louis,YES,amathis@ymcanyc.org,FY24 SC 341,Young at Heart Senior Center at the Flatbush YMCA,1401 Flatbush Avenue,Brooklyn,11210,,45,Brooklyn CD14   ,Areial Mathis ,646-771-3164 or 212-912-2260 ext 4402 ,amathis@ymcanyc.org,C9303,Main Site,OAC,amathis@ymcanyc.org,Areial Mathis ,,45,Louis,"1401%20Flatbush%20Avenue,%20Brooklyn,%2011210",40.636510400638485,-73.95153936822707
Louis,NO,,FY24 SC 307,Zest for Life OAC  (Bishop Philius),2806 Newkirk Avenue,Brooklyn,11210,,45,Brooklyn CD17  ,Chichana Benjamin,929-626-2020,cbenjamin@fortgreenecouncil.org,C3507,Main Site,OAC,,,,45,Louis,"2806%20Newkirk%20Avenue,%20Brooklyn,%2011210",40.63987216432731,-73.95013528087755
Marte,NO,,FY24 SC 001,BRC Senior Center,30 Delancy Street,Manhattan,10002,,1,Manhattan CD3,Kim Fong,212-533-2020,kfong@brc.org,C0901,Main Site,OAC,,,,1,Marte,"30%20Delancy%20Street,%20Manhattan,%2010002",40.719791293656066,-73.99226907828387
Marte,YES,nbrown@greenwichhouse.org,FY24 SC 002,Center on the Square,20 Washington Square North,Manhattan,10011,,1,Manhattan CD2,Nicole Brown,212-777-3555,lmarceca@greenwichhouse.org; olderadults@greenwichhouse.org,W1501,Main Site,OAC,nbrown@greenwichhouse.org,Nicole Brown,,1,Marte,"20%20Washington%20Square%20North,%20Manhattan,%2010011",40.73178062877096,-73.99770520258247
Marte,NO,,FY24 SC 003,CHINATOWN NNORC,7 MOTT STREET ,Manhattan,10013,,1,103,Hing Lin (Helen) Sit,212-619-3073 or 917-270-7979,hinglin.sit@vnsny.org,3NA,Discretionary,NORC,,,,1,Marte,"7%20MOTT%20STREET%20,%20Manhattan,%2010013",40.71394520672482,-73.99871944167434
Marte,NO,,FY24 SC 004,Confucious Plaza NORC,185 Park Row ,Manhattan,10002,,1,103,Colleen Kremer,212 -349- 3724,colleenkremer@hmhonline.org,N53-03,DFTA-Funded,NORC,,,,1,Marte,"185%20Park%20Row%20,%20Manhattan,%2010002",40.71321785189337,-73.99980521297186
Marte,NO,,FY24 SC 006,CPC NY Chinatown Neighborhood Senior Center,55 Chrystie Street,Manhattan,10002,,1,Manhattan CD3,Mojing (Jenny) Tran,212-233-8930,jtran@cpc-nyc.org,C2103,Main Site,OAC,,,,1,Marte,"55%20Chrystie%20Street,%20Manhattan,%2010002",40.71648674128385,-73.9947188482333
Marte,YES,png@cpc-nyc.org,FY24 SC 171,CPC Project Open Door Neighborhood Senior Center,168 Grand Street,Manhattan,10013,,1,Manhattan CD2,Po Ling Ng,212-431-9026,png@cpc-nyc.org,C2104,Main Site,OAC,png@cpc-nyc.org,Po-ling Ng,,1,Marte,"168%20Grand%20Street,%20Manhattan,%2010013",40.71968998437287,-73.99828642919803
